city_name,state_name,lat_num,long_num
Marysville,Washington,48.0517637,-122.1770818
Perris,California,33.7825194,-117.228647799999
Cleveland,Ohio,41.49932,-81.6943605
Worcester,Massachusetts,42.2625932,-71.8022934
Columbia,South Carolina,34.0007104,-81.0348144
Waterbury,Connecticut,41.5581525,-73.0514965
Eagan,Minnesota,44.8041322,-93.1668858
Southfield,Michigan,42.4733687999999,-83.2218731
Lafayette,Louisiana,30.2240897,-92.0198427
Boise City,Idaho,43.6187102,-116.2146068
Elkhart,Indiana,41.6819935,-85.9766671
Buena Park,California,33.8675142999999,-117.998118099999
Marietta,Georgia,33.952602,-84.5499327
Parker,Colorado,39.5186002,-104.761363299999
West Palm Beach,Florida,26.7153424,-80.0533746
Salem,Massachusetts,42.51954,-70.8967155
Aurora,Illinois,41.7605849,-88.3200715
Leesburg,Virginia,39.1156615,-77.5636015
Doral,Florida,25.8195424,-80.3553302
Westminster,California,33.7513419,-117.993992099999
Lubbock,Texas,33.5778631,-101.8551665
Overland Park,Kansas,38.9822282,-94.6707917
Jackson,Mississippi,32.2987573,-90.1848103
Gastonia,North Carolina,35.262082,-81.1873005
Daytona Beach,Florida,29.2108147,-81.0228330999999
Kansas City,Missouri,39.0997265,-94.5785667
Rancho Palos Verdes,California,33.7444613,-118.3870173
Burnsville,Minnesota,44.7677424,-93.2777225999999
Rowlett,Texas,32.9029017,-96.56388
Roswell,New Mexico,33.3942655,-104.5230242
Montgomery,Alabama,32.3668051999999,-86.2999689
Logan,Utah,41.7369803,-111.8338359
Woburn,Massachusetts,42.4792617999999,-71.1522765
Allentown,Pennsylvania,40.6084305,-75.4901833
Mount Pleasant,South Carolina,32.8323225,-79.8284257999999
Columbus,Georgia,32.4609764,-84.9877094
Buffalo,New York,42.8864468,-78.8783689
New Berlin,Wisconsin,42.9764027,-88.1084224
North Richland Hills,Texas,32.8342952,-97.2289029
Lima,Ohio,40.742551,-84.1052256
Sacramento,California,38.5815719,-121.4943996
Fort Smith,Arkansas,35.3859242,-94.3985474999999
East Providence,Rhode Island,41.8137116,-71.3700545
Urbandale,Iowa,41.6266555,-93.7121655999999
Mount Vernon,New York,40.9125992,-73.8370786
Lakewood,Colorado,39.7047095,-105.0813734
Henderson,Nevada,36.0395247,-114.9817213
Covina,California,34.0900091,-117.8903397
Stamford,Connecticut,41.0534302,-73.5387340999999
Bloomington,Indiana,39.165325,-86.5263857
Kingsport,Tennessee,36.548434,-82.5618186
Spokane,Washington,47.6587802,-117.4260466
Kennewick,Washington,46.2112458,-119.1372338
Philadelphia,Pennsylvania,39.9525839,-75.1652215
Bellingham,Washington,48.74908,-122.4781473
Visalia,California,36.3302283999999,-119.2920585
La Crosse,Wisconsin,43.8013556,-91.2395807
Council Bluffs,Iowa,41.2619444,-95.8608333
North Lauderdale,Florida,26.217305,-80.2258811
Dallas,Texas,32.7766642,-96.7969879
Antioch,California,38.0049214,-121.805788999999
Sterling Heights,Michigan,42.5803122,-83.0302033
Deerfield Beach,Florida,26.3184123,-80.0997657
Fishers,Indiana,39.9567547999999,-86.01335
Cheyenne,Wyoming,41.1399814,-104.8202462
Murrieta,California,33.5539142999999,-117.2139232
Lenexa,Kansas,38.9536174,-94.7335709
Noblesville,Indiana,40.0455917,-86.0085955
Southaven,Mississippi,34.9889818,-90.0125913
Chino,California,34.0122346,-117.688943999999
Gaithersburg,Maryland,39.1434406,-77.2013705
Fountain Valley,California,33.7091847,-117.953669699999
Frederick,Maryland,39.4142687999999,-77.4105409
Greenville,North Carolina,35.6126609999999,-77.3663538
DeKalb,Illinois,41.9294736,-88.7503647
West Allis,Wisconsin,43.0166806,-88.0070315
Thornton,Colorado,39.8680412,-104.9719243
West Des Moines,Iowa,41.5772115,-93.711332
Fall River,Massachusetts,41.7014912,-71.1550451
Tulare,California,36.2077287999999,-119.3473379
Chula Vista,California,32.6400541,-117.0841955
Coral Springs,Florida,26.271192,-80.2706044
Concord,North Carolina,35.4087517,-80.579511
Smyrna,Georgia,33.8839926,-84.5143760999999
Apopka,Florida,28.6934076,-81.5322149
Grand Forks,North Dakota,47.9252568,-97.0328547
Lancaster,Ohio,39.7136753999999,-82.5993294
Naperville,Illinois,41.7508391,-88.1535352
Hollywood,Florida,26.0112014,-80.1494901
Rogers,Arkansas,36.3320196,-94.1185366
New Orleans,Louisiana,29.9510658,-90.0715323
Lakewood,Washington,47.1717649,-122.518458
Oak Lawn,Illinois,41.719978,-87.7479528
Caldwell,Idaho,43.6629383999999,-116.6873596
Portland,Oregon,45.5230622,-122.676481599999
Concord,California,37.9779776,-122.0310733
Burien,Washington,47.4703767,-122.3467918
St. Charles,Missouri,38.7881062,-90.4974359
Waukesha,Wisconsin,43.0116784,-88.2314813
Flagstaff,Arizona,35.1982836,-111.651302
Puyallup,Washington,47.1853785,-122.2928974
Schenectady,New York,42.8142432,-73.9395687
Denver,Colorado,39.7392357999999,-104.990251
Springfield,Illinois,39.7817213,-89.6501481
Campbell,California,37.2871651,-121.9499568
Moreno Valley,California,33.9424658,-117.2296717
Kettering,Ohio,39.6895036,-84.1688274
